Territorial Authority,Territorial Authority final,Region,,,,,,,,,,,,,,
ASHBURTON DISTRICT,ASHBURTON DISTRICT,Canterbury,,,,,,,,,,,,,,
AUCKLAND CITY,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
BULLER DISTRICT,BULLER DISTRICT,West Coast,,,,,,,,,,,,,,
CARTERTON DISTRICT,CARTERTON DISTRICT,Wellington,,,,,,,,,,,,,,
CENTRAL HAWKE'S BAY DISTRICT,CENTRAL HAWKE'S BAY DISTRICT,Hawkes Bay,,,,,,,,,,,,,,
CENTRAL OTAGO DISTRICT,CENTRAL OTAGO DISTRICT,Otago,,,,,,,,,,,,,,
CHATHAM ISLANDS DISTRICT,CHATHAM ISLANDS DISTRICT,Canterbury,,,,,,,,,,,,,,
CHRISTCHURCH CITY INCLUDING BANKS PENINSULA WARD,CHRISTCHURCH CITY,Canterbury,,,,,,,,,,,,,,
CLUTHA DISTRICT,CLUTHA DISTRICT,Otago,,,,,,,,,,,,,,
DUNEDIN CITY,DUNEDIN CITY,Otago,,,,,,,,,,,,,,
FAR NORTH DISTRICT,FAR NORTH DISTRICT,Northland,,,,,,,,,,,,,,
FRANKLIN DISTRICT,FRANKLIN DISTRICT,Auckland,,,,,,,,,,,,,,
GISBORNE DISTRICT,GISBORNE DISTRICT,Gisborne,,,,,,,,,,,,,,
GORE DISTRICT,GORE DISTRICT,Southland,,,,,,,,,,,,,,
GREY DISTRICT,GREY DISTRICT,West Coast,,,,,,,,,,,,,,
HAMILTON CITY,HAMILTON CITY,Waikato,,,,,,,,,,,,,,
HASTINGS DISTRICT,HASTINGS DISTRICT,Hawkes Bay,,,,,,,,,,,,,,
HAURAKI DISTRICT,HAURAKI DISTRICT,Waikato,,,,,,,,,,,,,,
HOROWHENUA DISTRICT,HOROWHENUA DISTRICT,Manawatu-Wanganui,,,,,,,,,,,,,,
HURUNUI DISTRICT,HURUNUI DISTRICT,Canterbury,,,,,,,,,,,,,,
INVERCARGILL CITY,INVERCARGILL CITY,Southland,,,,,,,,,,,,,,
KAIKOURA DISTRICT,KAIKOURA DISTRICT,Canterbury,,,,,,,,,,,,,,
KAIPARA DISTRICT,KAIPARA DISTRICT,Northland,,,,,,,,,,,,,,
KAPITI COAST DISTRICT,KAPITI COAST DISTRICT,Wellington,,,,,,,,,,,,,,
KAWERAU DISTRICT,KAWERAU DISTRICT,Bay of Plenty,,,,,,,,,,,,,,
LOWER HUTT CITY,LOWER HUTT CITY,Wellington,,,,,,,,,,,,,,
MACKENZIE DISTRICT,MACKENZIE DISTRICT,Canterbury,,,,,,,,,,,,,,
MANAWATU DISTRICT,MANAWATU DISTRICT,Manawatu-Wanganui,,,,,,,,,,,,,,
MANUKAU CITY,MANUKAU CITY,Auckland,,,,,,,,,,,,,,
MARLBOROUGH DISTRICT,MARLBOROUGH DISTRICT,Marlborough,,,,,,,,,,,,,,
MASTERTON DISTRICT,MASTERTON DISTRICT,Wellington,,,,,,,,,,,,,,
MATAMATA-PIAKO DISTRICT,MATAMATA-PIAKO DISTRICT,Waikato,,,,,,,,,,,,,,
NAPIER CITY,NAPIER CITY,Hawkes Bay,,,,,,,,,,,,,,
NELSON CITY,NELSON CITY,Nelson,,,,,,,,,,,,,,
NEW PLYMOUTH DISTRICT,NEW PLYMOUTH DISTRICT,Taranaki,,,,,,,,,,,,,,
NORTH SHORE CITY,NORTH SHORE CITY,Auckland,,,,,,,,,,,,,,
OPOTIKI DISTRICT,OPOTIKI DISTRICT,Bay of Plenty,,,,,,,,,,,,,,
OTOROHANGA DISTRICT,OTOROHANGA DISTRICT,Waikato,,,,,,,,,,,,,,
PALMERSTON NORTH CITY,PALMERSTON NORTH CITY,Manawatu-Wanganui,,,,,,,,,,,,,,
PAPAKURA DISTRICT,PAPAKURA DISTRICT,Auckland,,,,,,,,,,,,,,
PORIRUA CITY,PORIRUA CITY,Wellington,,,,,,,,,,,,,,
QUEENSTOWN-LAKES DISTRICT,QUEENSTOWN-LAKES DISTRICT,Otago,,,,,,,,,,,,,,
RANGITIKEI DISTRICT,RANGITIKEI DISTRICT,Manawatu-Wanganui,,,,,,,,,,,,,,
RODNEY DISTRICT,RODNEY DISTRICT,Auckland,,,,,,,,,,,,,,
ROTORUA DISTRICT,ROTORUA DISTRICT,Bay of Plenty,,,,,,,,,,,,,,
RUAPEHU DISTRICT,RUAPEHU DISTRICT,Manawatu-Wanganui,,,,,,,,,,,,,,
SELWYN DISTRICT,SELWYN DISTRICT,Canterbury,,,,,,,,,,,,,,
SOUTH TARANAKI DISTRICT,SOUTH TARANAKI DISTRICT,Taranaki,,,,,,,,,,,,,,
SOUTH WAIKATO DISTRICT,SOUTH WAIKATO DISTRICT,Waikato,,,,,,,,,,,,,,
SOUTH WAIRARAPA DISTRICT,SOUTH WAIRARAPA DISTRICT,Wellington,,,,,,,,,,,,,,
SOUTHLAND DISTRICT,SOUTHLAND DISTRICT,Southland,,,,,,,,,,,,,,
STRATFORD DISTRICT,STRATFORD DISTRICT,Taranaki,,,,,,,,,,,,,,
TARARUA DISTRICT,TARARUA DISTRICT,Manawatu-Wanganui,,,,,,,,,,,,,,
TASMAN DISTRICT,TASMAN DISTRICT,Tasman,,,,,,,,,,,,,,
TAUPO DISTRICT,TAUPO DISTRICT,Waikato,,,,,,,,,,,,,,
TAURANGA DISTRICT,TAURANGA DISTRICT,Bay of Plenty,,,,,,,,,,,,,,
THAMES-COROMANDEL DISTRICT,THAMES-COROMANDEL DISTRICT,Waikato,,,,,,,,,,,,,,
TIMARU DISTRICT,TIMARU DISTRICT,Canterbury,,,,,,,,,,,,,,
UPPER HUTT CITY,UPPER HUTT CITY,Wellington,,,,,,,,,,,,,,
WAIKATO DISTRICT,WAIKATO DISTRICT,Waikato,,,,,,,,,,,,,,
WAIMAKARIRI DISTRICT,WAIMAKARIRI DISTRICT,Canterbury,,,,,,,,,,,,,,
WAIMATE DISTRICT,WAIMATE DISTRICT,Canterbury,,,,,,,,,,,,,,
WAIPA DISTRICT,WAIPA DISTRICT,Waikato,,,,,,,,,,,,,,
WAIROA DISTRICT,WAIROA DISTRICT,Hawkes Bay,,,,,,,,,,,,,,
WAITAKERE CITY,WAITAKERE CITY,Auckland,,,,,,,,,,,,,,
WAITAKI DISTRICT,WAITAKI DISTRICT,Canterbury,,,,,,,,,,,,,,
WAITOMO DISTRICT,WAITOMO DISTRICT,Waikato,,,,,,,,,,,,,,
WANGANUI DISTRICT,WANGANUI DISTRICT,Manawatu-Wanganui,,,,,,,,,,,,,,
WELLINGTON CITY,WELLINGTON CITY,Wellington,,,,,,,,,,,,,,
WESTERN BAY OF PLENTY DISTRICT,WESTERN BAY OF PLENTY DISTRICT,Waikato,,,,,,,,,,,,,,
WESTLAND DISTRICT,WESTLAND DISTRICT,West Coast,,,,,,,,,,,,,,
WHAKATANE DISTRICT,WHAKATANE DISTRICT,Bay of Plenty,,,,,,,,,,,,,,
WHANGAREI DISTRICT,WHANGAREI DISTRICT,Northland,,,,,,,,,,,,,,
Auckland Council - Albert - Eden,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Devonport - Takapuna,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Franklin,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Henderson - Massey,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Hibiscus and Bays,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Howick,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Kaipatiki,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Mangere - Otahuhu,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Manurewa,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Maungakiekie - Tamaki,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Orakei,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Otara - Papatoetoe,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Papakura,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Puketapapa,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Rodney,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Upper Harbour,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Waiheke,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Waitakere Ranges,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Waitemata,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Auckland Council - Whau,AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
"Auckland Council - Henderson - Massey
",AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
"Auckland Council - Hibiscus and Bays
",AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
"Auckland Council - Howick
",AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
"Auckland Council - Kaipatiki
",AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
"Auckland Council - Mangere - Otahuhu
",AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
"Auckland Council - Manurewa
",AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
"Auckland Council - Maungakiekie - Tamaki
",AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
"Auckland Council - Orakei
",AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
"Auckland Council - Otara - Papatoetoe
",AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
"Auckland Council - Papakura
",AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
"Auckland Council - Puketapapa
",AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
"Auckland Council - Rodney
",AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
"Auckland Council - Upper Harbour
",AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
"Auckland Council - Waiheke
",AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
"Auckland Council - Waitakere Ranges
",AUCKLAND CITY,Auckland,,,,,,,,,,,,,,
Christchurch City,,Christchurch,,,,,,,,,,,,,,
